9.941113766397307039e-01,9.940236504332564671e-01,9.941700856834785327e-01,9.939206325300509182e-01,9.935955768881441497e-01,9.939260282884991859e-01,9.939728029225632921e-01,9.942783272372508474e-01,9.939707539440070239e-01,9.944160432777432446e-01
9.719895195931914644e-01,9.735654802479399850e-01,9.765995762891104270e-01,9.694811462963852655e-01,9.762761404223582185e-01,9.788117034285011009e-01,9.623090080129144130e-01,9.694325318527537982e-01,9.727040605074602775e-01,9.784469819726814288e-01
9.514822786955922096e-01,9.530889202624970302e-01,9.555352555991959429e-01,9.429304439575210139e-01,9.481398499204389818e-01,9.593355231199143240e-01,9.446360723314376484e-01,9.431656786029540829e-01,9.499046807002717863e-01,9.555702563094548019e-01
9.303504786025468265e-01,9.281112177652336426e-01,9.338274091612365213e-01,9.161369791163026521e-01,9.287100783928585734e-01,9.392038545901247870e-01,9.247685841359682968e-01,9.207432578612824159e-01,9.211507849107184454e-01,9.325956646806567996e-01
9.091841343610280735e-01,9.023411033375239310e-01,9.124354513377622711e-01,8.884597898833854757e-01,9.035857722889000243e-01,9.186029743574681827e-01,9.021456897711220835e-01,9.023031352732208132e-01,8.949607831399759572e-01,9.071957875022633733e-01
8.856670632947170052e-01,8.777400887609206892e-01,8.905555235523459068e-01,8.615338892946370342e-01,8.793391540703143772e-01,8.982350768225253468e-01,8.803082241062883950e-01,8.834558513008345937e-01,8.737322453632883068e-01,8.816149577662182324e-01
8.645982477309734904e-01,8.540056276589144124e-01,8.676842171703813555e-01,8.358612659914166354e-01,8.575128504246226635e-01,8.785489956403957912e-01,8.573690693173535715e-01,8.653846976323297246e-01,8.534006757465077975e-01,8.583227813008694751e-01
8.441865477602812362e-01,8.326564412556884953e-01,8.443905886921676540e-01,8.130413846878477013e-01,8.358216392012142171e-01,8.564081688341009801e-01,8.357808774022669196e-01,8.451636082984060883e-01,8.326937822839448611e-01,8.364878463723107727e-01
8.245352286818925514e-01,8.126130395076600621e-01,8.211253017936858134e-01,7.902552958597146571e-01,8.136003269928963055e-01,8.369140624726183475e-01,8.141054329629215935e-01,8.247313461010858937e-01,8.139783408273646437e-01,8.144700817596103315e-01
8.058126465538560934e-01,7.914633911484193485e-01,7.990449009747264686e-01,7.686527813246784024e-01,7.910688261588737502e-01,8.179040544787483658e-01,7.945090172396692685e-01,8.053731054298549630e-01,7.944980694002152788e-01,7.935411270645427173e-01
7.882178083835265081e-01,7.702376908689881896e-01,7.783274765694724318e-01,7.474688019990423093e-01,7.688956518221000680e-01,7.975266561005162069e-01,7.766316455862272150e-01,7.853568414361322692e-01,7.759154727709419719e-01,7.737699359293280787e-01
7.704529096583747627e-01,7.499933615214868787e-01,7.579716165626291247e-01,7.266672074559764605e-01,7.481006391280696777e-01,7.786803552949888019e-01,7.591348108925014548e-01,7.669418446211093698e-01,7.581841645038861488e-01,7.547574822342852929e-01
7.541197679125951625e-01,7.308883119326249345e-01,7.380875471106501662e-01,7.079478508577952134e-01,7.287723831138938069e-01,7.614836272548476392e-01,7.420787207652784767e-01,7.483626828740499448e-01,7.394654665906276181e-01,7.370652195572248155e-01
7.374656453525912925e-01,7.129699730917196110e-01,7.196372696266308822e-01,6.895413259936502559e-01,7.110308657409389888e-01,7.443815617231159809e-01,7.254436136907265187e-01,7.303967882587071303e-01,7.225658309639808596e-01,7.197287179137642488e-01
